onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
4.997352	2	cue_ug-resp_pmod	n/a	15	-4	n/a	n/a
13.047549	2	cue_ug-resp_pmod	n/a	23	4	n/a	n/a
21.114058	2	cue_ug-prop_pmod	n/a	19	-1	n/a	n/a
32.180720	2	cue_dict_pmod	n/a	19	-1	n/a	n/a
43.230774	2	cue_ug-resp_pmod	n/a	17	-2	n/a	n/a
51.280685	2	cue_ug-resp_pmod	n/a	25	6	n/a	n/a
64.830690	2	cue_ug-resp_pmod	n/a	15	-4	n/a	n/a
74.381010	2	cue_ug-prop_pmod	n/a	15	-5	n/a	n/a
85.930695	2	cue_ug-prop_pmod	n/a	23	3	n/a	n/a
95.480870	2	cue_dict_pmod	n/a	25	5	n/a	n/a
108.531060	2	cue_ug-prop_pmod	n/a	19	-1	n/a	n/a
118.080780	2	cue_ug-prop_pmod	n/a	25	5	n/a	n/a
129.630810	2	cue_ug-prop_pmod	n/a	25	5	n/a	n/a
141.680820	2	cue_ug-resp_pmod	n/a	25	6	n/a	n/a
153.230880	2	cue_ug-prop_pmod	n/a	15	-5	n/a	n/a
161.280900	2	cue_dict_pmod	n/a	17	-3	n/a	n/a
170.831160	2	cue_ug-resp_pmod	n/a	17	-2	n/a	n/a
178.881100	2	cue_ug-prop_pmod	n/a	19	-1	n/a	n/a
189.930860	2	cue_ug-resp_pmod	n/a	15	-4	n/a	n/a
199.980800	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
210.030730	2	cue_ug-resp_pmod	n/a	19	0	n/a	n/a
218.080900	2	cue_dict_pmod	n/a	21	1	n/a	n/a
228.131160	2	cue_ug-prop_pmod	n/a	23	3	n/a	n/a
237.680790	2	cue_dict_pmod	n/a	19	-1	n/a	n/a
251.230970	2	cue_dict_pmod	n/a	25	5	n/a	n/a
259.281000	2	cue_ug-prop_pmod	n/a	23	3	n/a	n/a
271.347840	2	cue_dict_pmod	n/a	19	-1	n/a	n/a
