onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
4.989466	2	cue_ug-resp_pmod	n/a	15	-6	n/a	n/a
15.039084	2	cue_dict_pmod	n/a	15	-5	n/a	n/a
23.089113	2	cue_ug-prop_pmod	n/a	19	0	n/a	n/a
31.139187	2	cue_ug-resp_pmod	n/a	25	4	n/a	n/a
43.188980	2	cue_ug-prop_pmod	n/a	15	-4	n/a	n/a
54.738903	2	cue_dict_pmod	n/a	21	2	n/a	n/a
69.788864	2	cue_ug-resp_pmod	n/a	23	2	n/a	n/a
77.839035	2	cue_ug-prop_pmod	n/a	19	0	n/a	n/a
85.888790	2	cue_ug-prop_pmod	n/a	19	0	n/a	n/a
93.938760	2	cue_ug-resp_pmod	n/a	19	-2	n/a	n/a
103.989070	2	cue_ug-resp_pmod	n/a	21	0	n/a	n/a
115.538660	2	cue_ug-prop_pmod	n/a	15	-4	n/a	n/a
127.088715	2	cue_dict_pmod	n/a	15	-5	n/a	n/a
135.138580	2	cue_ug-prop_pmod	n/a	23	4	n/a	n/a
146.688540	2	cue_ug-resp_pmod	n/a	21	0	n/a	n/a
157.738530	2	cue_dict_pmod	n/a	19	-1	n/a	n/a
175.788450	2	cue_ug-resp_pmod	n/a	15	-6	n/a	n/a
183.838420	2	cue_dict_pmod	n/a	19	-1	n/a	n/a
194.888440	2	cue_ug-resp_pmod	n/a	23	2	n/a	n/a
204.938480	2	cue_dict_pmod	n/a	23	4	n/a	n/a
212.988540	2	cue_ug-prop_pmod	n/a	23	4	n/a	n/a
221.038300	2	cue_ug-prop_pmod	n/a	21	2	n/a	n/a
232.088260	2	cue_ug-prop_pmod	n/a	21	2	n/a	n/a
240.138260	2	cue_dict_pmod	n/a	17	-3	n/a	n/a
250.188230	2	cue_ug-prop_pmod	n/a	15	-4	n/a	n/a
265.238400	2	cue_ug-prop_pmod	n/a	17	-2	n/a	n/a
276.788020	2	cue_ug-resp_pmod	n/a	25	4	n/a	n/a
286.338000	2	cue_ug-prop_pmod	n/a	17	-2	n/a	n/a
295.888000	2	cue_ug-resp_pmod	n/a	19	-2	n/a	n/a
307.437930	2	cue_dict_pmod	n/a	21	2	n/a	n/a
315.487980	2	cue_ug-resp_pmod	n/a	21	0	n/a	n/a
327.537960	2	cue_dict_pmod	n/a	17	-3	n/a	n/a
338.587860	2	cue_ug-resp_pmod	n/a	21	0	n/a	n/a
350.637900	2	cue_dict_pmod	n/a	25	6	n/a	n/a
362.687800	2	cue_dict_pmod	n/a	23	4	n/a	n/a
379.237800	2	cue_dict_pmod	n/a	19	-1	n/a	n/a
7.521610	0.816853	dec_dg-prop_pmod_choice	0.816853	15	n/a	8	1.127070e-01
17.571497	1.217119	dec_ug-prop_pmod_choice	1.217119	15	n/a	12	-1.907003e-01
25.621620	1.983531	dec_ug-resp_pmod_accept	1.983531	19	n/a	13	1.511623e-01
25.621620	1.983531	dec_ug-resp_pmod_option_presented	1.983531	19	n/a	13	1.511623e-01
25.621620	1.983531	dec_ug-resp_pmod_choice	1.983531	19	n/a	13	1.511623e-01
33.671440	1.233655	dec_dg-prop_pmod_choice	1.233655	25	n/a	17	-3.395969e-02
47.221478	2.000178	dec_ug-resp_pmod_accept	2.000178	15	n/a	12	3.537285e-02
47.221478	2.000178	dec_ug-resp_pmod_option_presented	2.000178	15	n/a	12	3.537285e-02
47.221478	2.000178	dec_ug-resp_pmod_choice	2.000178	15	n/a	12	3.537285e-02
60.271470	1.200070	dec_ug-prop_pmod_choice	1.200070	21	n/a	12	3.787113e-02
72.321335	1.433683	dec_dg-prop_pmod_choice	1.433683	23	n/a	13	8.082292e-02
80.372574	1.598989	dec_ug-resp_pmod_accept	1.598989	19	n/a	13	1.511623e-01
80.372574	1.598989	dec_ug-resp_pmod_option_presented	1.598989	19	n/a	13	1.511623e-01
80.372574	1.598989	dec_ug-resp_pmod_choice	1.598989	19	n/a	13	1.511623e-01
88.421560	1.733297	dec_ug-resp_pmod_accept	1.733297	19	n/a	13	1.511623e-01
88.421560	1.733297	dec_ug-resp_pmod_option_presented	1.733297	19	n/a	13	1.511623e-01
88.421560	1.733297	dec_ug-resp_pmod_choice	1.733297	19	n/a	13	1.511623e-01
96.471214	1.266959	dec_dg-prop_pmod_choice	1.266959	19	n/a	10	1.197245e-01
108.021120	1.000388	dec_dg-prop_pmod_choice	1.000388	21	n/a	12	7.461174e-02
119.571130	1.816647	dec_ug-resp_pmod_accept	1.816647	15	n/a	10	1.687062e-01
119.571130	1.816647	dec_ug-resp_pmod_option_presented	1.816647	15	n/a	10	1.687062e-01
119.571130	1.816647	dec_ug-resp_pmod_choice	1.816647	15	n/a	10	1.687062e-01
129.621020	1.316929	dec_ug-prop_pmod_choice	1.316929	15	n/a	10	-5.736697e-02
