onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
4.990880	2	cue_ug-prop_pmod	n/a	25	4	n/a	n/a
13.040424	2	cue_ug-resp_pmod	n/a	25	4	n/a	n/a
21.090960	2	cue_dict_pmod	n/a	25	5	n/a	n/a
29.140621	2	cue_ug-prop_pmod	n/a	25	4	n/a	n/a
40.690880	2	cue_dict_pmod	n/a	23	3	n/a	n/a
50.740830	2	cue_ug-resp_pmod	n/a	25	4	n/a	n/a
65.790794	2	cue_ug-prop_pmod	n/a	17	-4	n/a	n/a
77.340800	2	cue_dict_pmod	n/a	17	-4	n/a	n/a
88.390620	2	cue_ug-prop_pmod	n/a	21	0	n/a	n/a
101.440500	2	cue_ug-resp_pmod	n/a	19	-3	n/a	n/a
111.490746	2	cue_ug-prop_pmod	n/a	19	-2	n/a	n/a
119.540170	2	cue_dict_pmod	n/a	23	3	n/a	n/a
127.590380	2	cue_ug-prop_pmod	n/a	19	-2	n/a	n/a
142.640690	2	cue_ug-resp_pmod	n/a	21	-1	n/a	n/a
154.190770	2	cue_ug-prop_pmod	n/a	25	4	n/a	n/a
163.740700	2	cue_ug-resp_pmod	n/a	25	4	n/a	n/a
174.790650	2	cue_ug-resp_pmod	n/a	23	2	n/a	n/a
189.840800	2	cue_dict_pmod	n/a	23	3	n/a	n/a
204.890900	2	cue_dict_pmod	n/a	19	-2	n/a	n/a
218.440670	2	cue_dict_pmod	n/a	19	-2	n/a	n/a
230.490550	2	cue_ug-prop_pmod	n/a	17	-4	n/a	n/a
244.040590	2	cue_dict_pmod	n/a	21	1	n/a	n/a
255.590970	2	cue_dict_pmod	n/a	19	-2	n/a	n/a
263.640530	2	cue_ug-resp_pmod	n/a	15	-7	n/a	n/a
273.190730	2	cue_ug-resp_pmod	n/a	17	-5	n/a	n/a
281.240500	2	cue_ug-resp_pmod	n/a	25	4	n/a	n/a
291.290620	2	cue_dict_pmod	n/a	17	-4	n/a	n/a
301.340600	2	cue_ug-resp_pmod	n/a	25	4	n/a	n/a
309.390500	2	cue_ug-prop_pmod	n/a	25	4	n/a	n/a
317.440670	2	cue_ug-prop_pmod	n/a	17	-4	n/a	n/a
325.490480	2	cue_ug-resp_pmod	n/a	15	-7	n/a	n/a
