onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
4.994704	2	cue_ug-prop_pmod	n/a	17	-3	n/a	n/a
13.051464	2	cue_ug-resp_pmod	n/a	23	2	n/a	n/a
22.575804	2	cue_ug-prop_pmod	n/a	15	-5	n/a	n/a
34.119010	2	cue_dict_pmod	n/a	17	-2	n/a	n/a
50.665650	2	cue_ug-resp_pmod	n/a	15	-6	n/a	n/a
60.707650	2	cue_dict_pmod	n/a	23	4	n/a	n/a
74.251510	2	cue_ug-resp_pmod	n/a	17	-4	n/a	n/a
82.308320	2	cue_ug-resp_pmod	n/a	21	0	n/a	n/a
92.350174	2	cue_dict_pmod	n/a	17	-2	n/a	n/a
100.390015	2	cue_ug-resp_pmod	n/a	25	4	n/a	n/a
116.937360	2	cue_dict_pmod	n/a	23	4	n/a	n/a
127.979420	2	cue_ug-prop_pmod	n/a	25	5	n/a	n/a
140.022550	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
153.083630	2	cue_dict_pmod	n/a	17	-2	n/a	n/a
168.129030	2	cue_ug-prop_pmod	n/a	23	3	n/a	n/a
181.673580	2	cue_ug-prop_pmod	n/a	23	3	n/a	n/a
191.715010	2	cue_ug-resp_pmod	n/a	21	0	n/a	n/a
202.757870	2	cue_dict_pmod	n/a	17	-2	n/a	n/a
212.298260	2	cue_ug-prop_pmod	n/a	17	-3	n/a	n/a
220.338650	2	cue_ug-resp_pmod	n/a	23	2	n/a	n/a
228.395630	2	cue_dict_pmod	n/a	15	-4	n/a	n/a
236.435500	2	cue_ug-resp_pmod	n/a	25	4	n/a	n/a
248.478330	2	cue_dict_pmod	n/a	15	-4	n/a	n/a
261.522920	2	cue_dict_pmod	n/a	21	2	n/a	n/a
269.579070	2	cue_ug-prop_pmod	n/a	17	-3	n/a	n/a
281.105740	2	cue_ug-resp_pmod	n/a	21	0	n/a	n/a
292.147860	2	cue_ug-resp_pmod	n/a	15	-6	n/a	n/a
301.689150	2	cue_dict_pmod	n/a	21	2	n/a	n/a
313.732360	2	cue_ug-prop_pmod	n/a	17	-3	n/a	n/a
321.789120	2	cue_dict_pmod	n/a	21	2	n/a	n/a
329.828770	2	cue_dict_pmod	n/a	25	6	n/a	n/a
341.355130	2	cue_ug-resp_pmod	n/a	21	0	n/a	n/a
349.411830	2	cue_ug-resp_pmod	n/a	25	4	n/a	n/a
359.452760	2	cue_ug-prop_pmod	n/a	25	5	n/a	n/a
370.495570	2	cue_ug-prop_pmod	n/a	17	-3	n/a	n/a
380.537350	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
7.528805	1.368316	dec_ug-resp_pmod_reject	1.368316	17	n/a	0	7.054262e-02
7.528805	1.368316	dec_ug-resp_pmod_option_presented	1.368316	17	n/a	0	7.054262e-02
7.528805	1.368316	dec_ug-resp_pmod_choice	1.368316	17	n/a	0	-1.059280e-01
17.067715	2.588131	dec_dg-prop_pmod_choice	2.588131	23	n/a	16	9.919173e-02
26.609318	2.204570	dec_ug-resp_pmod_reject	2.204570	15	n/a	0	-3.926130e-02
26.609318	2.204570	dec_ug-resp_pmod_option_presented	2.204570	15	n/a	0	-3.926130e-02
26.609318	2.204570	dec_ug-resp_pmod_choice	2.204570	15	n/a	0	-1.059280e-01
38.152527	1.871402	dec_ug-prop_pmod_choice	1.871402	17	n/a	16	-9.998457e-02
53.198696	2.354441	dec_dg-prop_pmod_choice	2.354441	15	n/a	12	-5.156091e-03
64.740650	2.037569	dec_ug-prop_pmod_choice	2.037569	23	n/a	19	1.510494e-02
76.784900	1.702988	dec_dg-prop_pmod_choice	1.702988	17	n/a	16	-1.463326e-01
84.841600	1.452980	dec_dg-prop_pmod_choice	1.452980	21	n/a	20	-1.575370e-01
94.882600	1.103024	dec_ug-prop_pmod_choice	1.103024	17	n/a	14	1.766249e-02
104.422550	1.671313	dec_dg-prop_pmod_choice	1.671313	25	n/a	20	-5.156091e-03
122.470560	1.971864	dec_ug-prop_pmod_choice	1.971864	23	n/a	22	-1.153298e-01
130.512500	1.786334	dec_ug-resp_pmod_accept	1.786334	25	n/a	17	2.140720e-01
130.512500	1.786334	dec_ug-resp_pmod_option_presented	1.786334	25	n/a	17	2.140720e-01
130.512500	1.786334	dec_ug-resp_pmod_choice	1.786334	25	n/a	17	2.140720e-01
145.556560	4.000000	missed_trial	n/a	21	n/a	n/a	n/a
155.616530	1.287402	dec_ug-prop_pmod_choice	1.287402	17	n/a	12	1.353095e-01
172.162500	0.986558	dec_ug-resp_pmod_accept	0.986558	23	n/a	19	6.798508e-02
172.162500	0.986558	dec_ug-resp_pmod_option_presented	0.986558	23	n/a	19	6.798508e-02
172.162500	0.986558	dec_ug-resp_pmod_choice	0.986558	23	n/a	19	6.798508e-02
184.207050	1.419357	dec_ug-resp_pmod_accept	1.419357	23	n/a	16	1.984199e-01
184.207050	1.419357	dec_ug-resp_pmod_option_presented	1.419357	23	n/a	16	1.984199e-01
184.207050	1.419357	dec_ug-resp_pmod_choice	1.419357	23	n/a	16	1.984199e-01
197.248400	2.105409	dec_dg-prop_pmod_choice	2.105409	21	n/a	14	1.281772e-01
206.791370	1.520083	dec_ug-prop_pmod_choice	1.520083	17	n/a	12	1.353095e-01
214.832240	1.486073	dec_ug-resp_pmod_reject	1.486073	17	n/a	0	-1.059280e-01
214.832240	1.486073	dec_ug-resp_pmod_option_presented	1.486073	17	n/a	0	-4.710444e-02
214.832240	1.486073	dec_ug-resp_pmod_choice	1.486073	17	n/a	0	-1.059280e-01
222.873260	0.934367	dec_dg-prop_pmod_choice	0.934367	23	n/a	22	-1.616778e-01
230.912160	1.535962	dec_ug-prop_pmod_choice	1.535962	15	n/a	14	-9.214144e-02
238.968280	2.203523	dec_dg-prop_pmod_choice	2.203523	25	n/a	23	-1.251561e-01
254.011950	1.372472	dec_ug-prop_pmod_choice	1.372472	15	n/a	12	4.119190e-02
264.056100	1.602169	dec_ug-prop_pmod_choice	1.602169	21	n/a	17	3.166809e-02
273.595280	1.220984	dec_ug-resp_pmod_reject	1.220984	17	n/a	0	-4.710444e-02
273.595280	1.220984	dec_ug-resp_pmod_option_presented	1.220984	17	n/a	0	-4.710444e-02
273.595280	1.220984	dec_ug-resp_pmod_choice	1.220984	17	n/a	0	-1.059280e-01
286.639100	1.104603	dec_dg-prop_pmod_choice	1.104603	21	n/a	17	-1.467990e-02
296.181180	1.487210	dec_dg-prop_pmod_choice	1.487210	15	n/a	12	-5.156091e-03
304.222500	1.669359	dec_ug-prop_pmod_choice	1.669359	21	n/a	14	1.745252e-01
316.265200	1.169739	dec_ug-resp_pmod_accept	1.169739	17	n/a	14	7.054262e-02
316.265200	1.169739	dec_ug-resp_pmod_option_presented	1.169739	17	n/a	14	7.054262e-02
316.265200	1.169739	dec_ug-resp_pmod_choice	1.169739	17	n/a	14	7.054262e-02
324.305300	1.485981	dec_ug-prop_pmod_choice	1.485981	21	n/a	17	3.166809e-02
333.844970	1.654448	dec_ug-prop_pmod_choice	1.654448	25	n/a	14	2.811919e-01
343.889100	1.034669	dec_dg-prop_pmod_choice	1.034669	21	n/a	20	-1.575370e-01
351.944370	1.753176	dec_dg-prop_pmod_choice	1.753176	25	n/a	20	-5.156091e-03
364.987100	1.804679	dec_ug-resp_pmod_reject	1.804679	25	n/a	0	-1.059280e-01
364.987100	1.804679	dec_ug-resp_pmod_option_presented	1.804679	25	n/a	0	-2.592797e-02
364.987100	1.804679	dec_ug-resp_pmod_choice	1.804679	25	n/a	0	-1.059280e-01
373.028930	1.585803	dec_ug-resp_pmod_reject	1.585803	17	n/a	0	-4.710444e-02
373.028930	1.585803	dec_ug-resp_pmod_option_presented	1.585803	17	n/a	0	-4.710444e-02
373.028930	1.585803	dec_ug-resp_pmod_choice	1.585803	17	n/a	0	-1.059280e-01
383.069800	1.186827	dec_ug-resp_pmod_accept	1.186827	21	n/a	17	8.454822e-02
383.069800	1.186827	dec_ug-resp_pmod_option_presented	1.186827	21	n/a	17	8.454822e-02
383.069800	1.186827	dec_ug-resp_pmod_choice	1.186827	21	n/a	17	8.454822e-02
