onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
4.990649	2	cue_ug-prop_pmod	n/a	21	0	n/a	n/a
13.030817	2	cue_dict_pmod	n/a	25	3	n/a	n/a
23.088943	2	cue_dict_pmod	n/a	25	3	n/a	n/a
38.118090	2	cue_ug-prop_pmod	n/a	19	-2	n/a	n/a
54.665010	2	cue_ug-resp_pmod	n/a	15	-5	n/a	n/a
65.707375	2	cue_ug-resp_pmod	n/a	17	-3	n/a	n/a
77.250420	2	cue_ug-resp_pmod	n/a	19	-1	n/a	n/a
90.294464	2	cue_ug-prop_pmod	n/a	25	4	n/a	n/a
101.837715	2	cue_dict_pmod	n/a	21	-1	n/a	n/a
111.378586	2	cue_dict_pmod	n/a	15	-7	n/a	n/a
126.424324	2	cue_ug-resp_pmod	n/a	19	-1	n/a	n/a
134.480870	2	cue_ug-prop_pmod	n/a	21	0	n/a	n/a
144.505950	2	cue_dict_pmod	n/a	19	-3	n/a	n/a
152.562590	2	cue_ug-prop_pmod	n/a	19	-2	n/a	n/a
164.088640	2	cue_ug-resp_pmod	n/a	17	-3	n/a	n/a
174.130600	2	cue_ug-resp_pmod	n/a	19	-1	n/a	n/a
182.187000	2	cue_dict_pmod	n/a	23	1	n/a	n/a
190.210590	2	cue_ug-resp_pmod	n/a	19	-1	n/a	n/a
198.267060	2	cue_ug-prop_pmod	n/a	25	4	n/a	n/a
216.315370	2	cue_ug-prop_pmod	n/a	25	4	n/a	n/a
224.371800	2	cue_ug-resp_pmod	n/a	25	5	n/a	n/a
235.914960	2	cue_dict_pmod	n/a	25	3	n/a	n/a
245.472600	2	cue_ug-prop_pmod	n/a	25	4	n/a	n/a
255.014130	2	cue_dict_pmod	n/a	19	-3	n/a	n/a
263.070530	2	cue_ug-resp_pmod	n/a	25	5	n/a	n/a
278.116460	2	cue_ug-resp_pmod	n/a	19	-1	n/a	n/a
286.173070	2	cue_ug-prop_pmod	n/a	19	-2	n/a	n/a
294.213000	2	cue_ug-resp_pmod	n/a	25	5	n/a	n/a
302.269530	2	cue_ug-prop_pmod	n/a	17	-4	n/a	n/a
314.296260	2	cue_dict_pmod	n/a	25	3	n/a	n/a
322.352660	2	cue_ug-prop_pmod	n/a	21	0	n/a	n/a
333.895630	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
341.935580	2	cue_ug-prop_pmod	n/a	15	-6	n/a	n/a
349.992430	2	cue_dict_pmod	n/a	25	3	n/a	n/a
362.035640	2	cue_dict_pmod	n/a	19	-3	n/a	n/a
375.580570	2	cue_dict_pmod	n/a	23	1	n/a	n/a
7.523993	2.620189	dec_ug-resp_pmod_reject	2.620189	21	n/a	0	-8.721067e-02
7.523993	2.620189	dec_ug-resp_pmod_option_presented	2.620189	21	n/a	0	-8.721067e-02
7.523993	2.620189	dec_ug-resp_pmod_choice	2.620189	21	n/a	0	-1.348297e-01
15.564729	1.017824	dec_ug-prop_pmod_choice	1.017824	25	n/a	20	2.572215e-02
25.605717	0.835196	dec_ug-prop_pmod_choice	0.835196	25	n/a	14	2.657221e-01
42.151302	1.853878	dec_ug-resp_pmod_reject	1.853878	19	n/a	0	7.569659e-02
42.151302	1.853878	dec_ug-resp_pmod_option_presented	1.853878	19	n/a	0	7.569659e-02
42.151302	1.853878	dec_ug-resp_pmod_choice	1.853878	19	n/a	0	-1.348297e-01
60.198210	1.405027	dec_dg-prop_pmod_choice	1.405027	15	n/a	12	-1.551182e-01
69.740720	1.187226	dec_dg-prop_pmod_choice	1.187226	17	n/a	16	-2.962947e-01
82.783580	1.004873	dec_dg-prop_pmod_choice	1.004873	19	n/a	18	-3.024867e-01
94.327835	1.387028	dec_ug-resp_pmod_reject	1.387028	25	n/a	0	-5.482972e-02
94.327835	1.387028	dec_ug-resp_pmod_option_presented	1.387028	25	n/a	0	-5.482972e-02
94.327835	1.387028	dec_ug-resp_pmod_choice	1.387028	25	n/a	0	-1.348297e-01
105.870804	1.153242	dec_ug-prop_pmod_choice	1.153242	21	n/a	14	1.590555e-01
116.912796	2.154741	dec_ug-prop_pmod_choice	2.154741	15	n/a	8	2.923888e-01
128.957600	1.852838	dec_dg-prop_pmod_choice	1.852838	19	n/a	13	-3.932876e-02
136.997630	2.236460	dec_ug-resp_pmod_reject	2.236460	21	n/a	0	-1.348297e-01
136.997630	2.236460	dec_ug-resp_pmod_option_presented	2.236460	21	n/a	0	5.564647e-02
136.997630	2.236460	dec_ug-resp_pmod_choice	2.236460	21	n/a	0	-1.348297e-01
147.038830	1.069342	dec_ug-prop_pmod_choice	1.069342	19	n/a	13	1.415116e-01
156.579270	2.254439	dec_ug-resp_pmod_accept	2.254439	19	n/a	10	3.388545e-01
156.579270	2.254439	dec_ug-resp_pmod_option_presented	2.254439	19	n/a	10	3.388545e-01
156.579270	2.254439	dec_ug-resp_pmod_choice	2.254439	19	n/a	10	3.388545e-01
166.622220	1.252381	dec_dg-prop_pmod_choice	1.252381	17	n/a	14	-1.786476e-01
176.663800	1.302251	dec_dg-prop_pmod_choice	1.302251	19	n/a	15	-1.445919e-01
184.703630	1.469180	dec_ug-prop_pmod_choice	1.469180	23	n/a	19	-3.648080e-04
192.744170	1.251920	dec_dg-prop_pmod_choice	1.251920	19	n/a	13	-3.932876e-02
203.800490	2.005329	dec_ug-resp_pmod_accept	2.005329	25	n/a	20	6.517028e-02
203.800490	2.005329	dec_ug-resp_pmod_option_presented	2.005329	25	n/a	20	6.517028e-02
203.800490	2.005329	dec_ug-resp_pmod_choice	2.005329	25	n/a	20	6.517028e-02
218.848650	1.869493	dec_ug-resp_pmod_reject	1.869493	25	n/a	0	-1.348297e-01
218.848650	1.869493	dec_ug-resp_pmod_option_presented	1.869493	25	n/a	0	-5.482972e-02
