onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
4.999926	2	cue_ug-resp_pmod	n/a	15	-5	n/a	n/a
15.057915	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
24.582560	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
38.127026	2	cue_dict_pmod	n/a	17	-3	n/a	n/a
51.671494	2	cue_ug-resp_pmod	n/a	17	-3	n/a	n/a
59.728573	2	cue_ug-prop_pmod	n/a	23	3	n/a	n/a
71.271110	2	cue_ug-resp_pmod	n/a	23	3	n/a	n/a
81.312670	2	cue_ug-prop_pmod	n/a	17	-3	n/a	n/a
96.358440	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
104.415200	2	cue_dict_pmod	n/a	25	5	n/a	n/a
115.457344	2	cue_dict_pmod	n/a	17	-3	n/a	n/a
123.514150	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
136.541460	2	cue_ug-prop_pmod	n/a	23	3	n/a	n/a
146.082760	2	cue_ug-resp_pmod	n/a	17	-3	n/a	n/a
157.625690	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
169.168100	2	cue_ug-resp_pmod	n/a	23	3	n/a	n/a
180.210980	2	cue_ug-prop_pmod	n/a	17	-3	n/a	n/a
195.256620	2	cue_dict_pmod	n/a	25	5	n/a	n/a
203.312880	2	cue_ug-resp_pmod	n/a	25	5	n/a	n/a
211.353180	2	cue_ug-resp_pmod	n/a	25	5	n/a	n/a
221.394900	2	cue_ug-prop_pmod	n/a	17	-3	n/a	n/a
234.438660	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
244.480700	2	cue_ug-prop_pmod	n/a	23	3	n/a	n/a
254.522370	2	cue_dict_pmod	n/a	23	3	n/a	n/a
264.063450	2	cue_dict_pmod	n/a	25	5	n/a	n/a
272.119800	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
284.146800	2	cue_dict_pmod	n/a	17	-3	n/a	n/a
293.687960	2	cue_ug-prop_pmod	n/a	17	-3	n/a	n/a
303.228970	2	cue_dict_pmod	n/a	15	-5	n/a	n/a
311.268650	2	cue_dict_pmod	n/a	21	1	n/a	n/a
319.308840	2	cue_dict_pmod	n/a	25	5	n/a	n/a
334.354340	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
345.396640	2	cue_ug-prop_pmod	n/a	15	-5	n/a	n/a
360.442470	2	cue_dict_pmod	n/a	15	-5	n/a	n/a
368.499050	2	cue_ug-resp_pmod	n/a	15	-5	n/a	n/a
376.539100	2	cue_dict_pmod	n/a	17	-3	n/a	n/a
7.533311	1.402432	dec_dg-prop_pmod_choice	1.402432	15	n/a	14	-1.587411e-01
19.074661	1.253996	dec_ug-resp_pmod_accept	1.253996	21	n/a	14	1.662810e-01
19.074661	1.253996	dec_ug-resp_pmod_option_presented	1.253996	21	n/a	14	1.662810e-01
19.074661	1.253996	dec_ug-resp_pmod_choice	1.253996	21	n/a	14	1.662810e-01
28.616673	1.202883	dec_dg-prop_pmod_choice	1.202883	21	n/a	20	-1.777887e-01
42.160630	1.086701	dec_ug-prop_pmod_choice	1.086701	17	n/a	9	3.162794e-01
54.205757	1.302818	dec_dg-prop_pmod_choice	1.302818	17	n/a	12	6.870986e-02
63.761963	1.186510	dec_ug-resp_pmod_reject	1.186510	23	n/a	0	-1.670523e-01
63.761963	1.186510	dec_ug-resp_pmod_option_presented	1.186510	23	n/a	0	-1.235741e-01
63.761963	1.186510	dec_ug-resp_pmod_choice	1.186510	23	n/a	0	-1.670523e-01
73.805570	1.302676	dec_dg-prop_pmod_choice	1.302676	23	n/a	16	7.894004e-02
83.845580	1.202647	dec_ug-resp_pmod_accept	1.202647	17	n/a	14	9.418260e-03
83.845580	1.202647	dec_ug-resp_pmod_option_presented	1.202647	17	n/a	14	9.418260e-03
83.845580	1.202647	dec_ug-resp_pmod_choice	1.202647	17	n/a	14	9.418260e-03
98.892660	1.084956	dec_ug-resp_pmod_accept	1.084956	21	n/a	12	2.615191e-01
98.892660	1.084956	dec_ug-resp_pmod_option_presented	1.084956	21	n/a	12	2.615191e-01
98.892660	1.084956	dec_ug-resp_pmod_choice	1.084956	21	n/a	12	2.615191e-01
109.948524	1.821520	dec_ug-prop_pmod_choice	1.821520	25	n/a	23	-7.430885e-02
117.991380	1.251752	dec_ug-prop_pmod_choice	1.251752	17	n/a	12	1.398088e-01
129.030900	1.321948	dec_dg-prop_pmod_choice	1.321948	21	n/a	17	-3.493160e-02
140.575260	2.037391	dec_ug-resp_pmod_reject	2.037391	23	n/a	0	-1.235741e-01
140.575260	2.037391	dec_ug-resp_pmod_option_presented	2.037391	23	n/a	0	-1.235741e-01
140.575260	2.037391	dec_ug-resp_pmod_choice	2.037391	23	n/a	0	-1.670523e-01
150.116240	1.203458	dec_dg-prop_pmod_choice	1.203458	17	n/a	14	-4.893720e-02
161.659640	1.603684	dec_ug-resp_pmod_accept	1.603684	21	n/a	12	2.615191e-01
161.659640	1.603684	dec_ug-resp_pmod_option_presented	1.603684	21	n/a	12	2.615191e-01
161.659640	1.603684	dec_ug-resp_pmod_choice	1.603684	21	n/a	12	2.615191e-01
174.702400	1.621215	dec_dg-prop_pmod_choice	1.621215	23	n/a	19	-5.149474e-02
182.744350	1.368938	dec_ug-resp_pmod_reject	1.368938	17	n/a	0	-1.670523e-01
182.744350	1.368938	dec_ug-resp_pmod_option_presented	1.368938	17	n/a	0	-1.082288e-01
182.744350	1.368938	dec_ug-resp_pmod_choice	1.368938	17	n/a	0	-1.670523e-01
197.790330	1.385656	dec_ug-prop_pmod_choice	1.385656	25	n/a	20	4.569115e-02
205.830460	1.268410	dec_dg-prop_pmod_choice	1.268410	25	n/a	23	-1.454078e-01
213.886670	1.135223	dec_dg-prop_pmod_choice	1.135223	25	n/a	23	-1.454078e-01
226.928240	1.788643	dec_ug-resp_pmod_reject	1.788643	17	n/a	0	-1.670523e-01
226.928240	1.788643	dec_ug-resp_pmod_option_presented	1.788643	17	n/a	0	9.418260e-03
226.928240	1.788643	dec_ug-resp_pmod_choice	1.788643	17	n/a	0	-1.670523e-01
236.972240	1.319346	dec_dg-prop_pmod_choice	1.319346	21	n/a	20	-1.777887e-01
247.013810	1.019172	dec_ug-resp_pmod_accept	1.019172	23	n/a	16	1.372955e-01
247.013810	1.019172	dec_ug-resp_pmod_option_presented	1.019172	23	n/a	16	1.372955e-01
247.013810	1.019172	dec_ug-resp_pmod_choice	1.019172	23	n/a	16	1.372955e-01
258.555270	1.053611	dec_ug-prop_pmod_choice	1.053611	23	n/a	19	1.960419e-02
266.596370	1.469843	dec_ug-prop_pmod_choice	1.469843	25	n/a	20	4.569115e-02
274.637200	1.751766	dec_ug-resp_pmod_reject	1.751766	21	n/a	0	-1.194333e-01
274.637200	1.751766	dec_ug-resp_pmod_option_presented	1.751766	21	n/a	0	-1.194333e-01
274.637200	1.751766	dec_ug-resp_pmod_choice	1.751766	21	n/a	0	-1.670523e-01
288.180100	1.520066	dec_ug-prop_pmod_choice	1.520066	17	n/a	14	2.216173e-02
297.721160	1.703384	dec_ug-resp_pmod_reject	1.703384	17	n/a	0	9.418260e-03
297.721160	1.703384	dec_ug-resp_pmod_option_presented	1.703384	17	n/a	0	9.418260e-03
297.721160	1.703384	dec_ug-resp_pmod_choice	1.703384	17	n/a	0	-1.670523e-01
305.762150	0.868699	dec_ug-prop_pmod_choice	0.868699	15	n/a	14	-8.764219e-02
313.801900	1.936260	dec_ug-prop_pmod_choice	1.936260	21	n/a	14	1.790245e-01
321.842040	1.218951	dec_ug-prop_pmod_choice	1.218951	25	n/a	20	4.569115e-02
339.887820	1.421434	dec_dg-prop_pmod_choice	1.421434	21	n/a	17	-3.493160e-02
350.930150	2.022859	dec_ug-resp_pmod_accept	2.022859	15	n/a	10	1.662810e-01
350.930150	2.022859	dec_ug-resp_pmod_option_presented	2.022859	15	n/a	10	1.662810e-01
350.930150	2.022859	dec_ug-resp_pmod_choice	2.022859	15	n/a	10	1.662810e-01
362.975000	1.336161	dec_ug-prop_pmod_choice	1.336161	15	n/a	10	1.790245e-01
371.015530	1.369451	dec_dg-prop_pmod_choice	1.369451	15	n/a	12	-2.540779e-02
379.056460	1.335202	dec_ug-prop_pmod_choice	1.335202	17	n/a	14	2.216173e-02
