onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
4.995114	2	cue_ug-resp_pmod	n/a	17	-4	n/a	n/a
13.045289	2	cue_ug-prop_pmod	n/a	23	3	n/a	n/a
25.095215	2	cue_dict_pmod	n/a	17	-4	n/a	n/a
35.145283	2	cue_dict_pmod	n/a	23	3	n/a	n/a
45.195080	2	cue_ug-resp_pmod	n/a	23	2	n/a	n/a
54.745230	2	cue_ug-prop_pmod	n/a	15	-5	n/a	n/a
68.295080	2	cue_ug-prop_pmod	n/a	15	-5	n/a	n/a
78.345120	2	cue_ug-prop_pmod	n/a	23	3	n/a	n/a
89.394970	2	cue_ug-resp_pmod	n/a	17	-4	n/a	n/a
98.944910	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
110.511460	2	cue_ug-resp_pmod	n/a	25	4	n/a	n/a
120.061870	2	cue_dict_pmod	n/a	21	1	n/a	n/a
128.111450	2	cue_dict_pmod	n/a	21	1	n/a	n/a
141.661530	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
154.711430	2	cue_ug-prop_pmod	n/a	25	5	n/a	n/a
165.761350	2	cue_dict_pmod	n/a	17	-4	n/a	n/a
175.311430	2	cue_ug-resp_pmod	n/a	21	0	n/a	n/a
185.361340	2	cue_ug-prop_pmod	n/a	19	-1	n/a	n/a
196.427890	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
204.477800	2	cue_ug-resp_pmod	n/a	23	2	n/a	n/a
212.527790	2	cue_ug-resp_pmod	n/a	15	-6	n/a	n/a
222.577840	2	cue_dict_pmod	n/a	21	1	n/a	n/a
230.627840	2	cue_ug-prop_pmod	n/a	19	-1	n/a	n/a
240.677760	2	cue_dict_pmod	n/a	17	-4	n/a	n/a
255.727510	2	cue_ug-resp_pmod	n/a	25	4	n/a	n/a
263.777530	2	cue_dict_pmod	n/a	23	3	n/a	n/a
271.827730	2	cue_ug-resp_pmod	n/a	25	4	n/a	n/a
279.877500	2	cue_ug-resp_pmod	n/a	19	-2	n/a	n/a
289.927550	2	cue_dict_pmod	n/a	23	3	n/a	n/a
302.977480	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
312.527440	2	cue_dict_pmod	n/a	21	1	n/a	n/a
327.577500	2	cue_ug-resp_pmod	n/a	21	0	n/a	n/a
337.127470	2	cue_dict_pmod	n/a	25	5	n/a	n/a
350.677370	2	cue_ug-resp_pmod	n/a	19	-2	n/a	n/a
358.727330	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
373.777250	2	cue_dict_pmod	n/a	17	-4	n/a	n/a
7.528214	1.766601	dec_dg-prop_pmod_choice	1.766601	17	n/a	14	-1.416486e-01
15.576795	2.167677	dec_ug-resp_pmod_reject	2.167677	23	n/a	0	-1.440497e-01
15.576795	2.167677	dec_ug-resp_pmod_option_presented	2.167677	23	n/a	0	-1.005714e-01
15.576795	2.167677	dec_ug-resp_pmod_choice	2.167677	23	n/a	0	-1.440497e-01
27.628098	2.599789	dec_ug-prop_pmod_choice	2.599789	17	n/a	14	3.730575e-03
