onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
4.998692	2	cue_ug-resp_pmod	n/a	23	3	n/a	n/a
16.041195	2	cue_ug-prop_pmod	n/a	25	5	n/a	n/a
24.097322	2	cue_ug-resp_pmod	n/a	17	-3	n/a	n/a
33.622140	2	cue_ug-prop_pmod	n/a	15	-5	n/a	n/a
47.166520	2	cue_ug-prop_pmod	n/a	19	-1	n/a	n/a
55.223408	2	cue_ug-prop_pmod	n/a	19	-1	n/a	n/a
70.251860	2	cue_ug-resp_pmod	n/a	15	-5	n/a	n/a
78.308870	2	cue_dict_pmod	n/a	21	1	n/a	n/a
86.348360	2	cue_ug-resp_pmod	n/a	15	-5	n/a	n/a
96.390625	2	cue_ug-resp_pmod	n/a	25	5	n/a	n/a
109.433945	2	cue_ug-prop_pmod	n/a	15	-5	n/a	n/a
117.473860	2	cue_ug-prop_pmod	n/a	17	-3	n/a	n/a
125.531230	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
135.055450	2	cue_dict_pmod	n/a	19	-1	n/a	n/a
146.597900	2	cue_dict_pmod	n/a	17	-3	n/a	n/a
161.644060	2	cue_dict_pmod	n/a	21	1	n/a	n/a
174.688420	2	cue_ug-resp_pmod	n/a	23	3	n/a	n/a
186.230650	2	cue_dict_pmod	n/a	25	5	n/a	n/a
194.287350	2	cue_ug-resp_pmod	n/a	23	3	n/a	n/a
202.327510	2	cue_dict_pmod	n/a	17	-3	n/a	n/a
212.368730	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
227.414320	2	cue_ug-resp_pmod	n/a	19	-1	n/a	n/a
238.957430	2	cue_dict_pmod	n/a	25	5	n/a	n/a
248.498830	2	cue_dict_pmod	n/a	19	-1	n/a	n/a
260.542140	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
270.583830	2	cue_dict_pmod	n/a	15	-5	n/a	n/a
281.625520	2	cue_ug-resp_pmod	n/a	23	3	n/a	n/a
298.172760	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
307.713680	2	cue_dict_pmod	n/a	19	-1	n/a	n/a
319.773530	2	cue_ug-resp_pmod	n/a	23	3	n/a	n/a
331.316700	2	cue_ug-prop_pmod	n/a	23	3	n/a	n/a
343.359860	2	cue_ug-prop_pmod	n/a	17	-3	n/a	n/a
356.403800	2	cue_ug-resp_pmod	n/a	17	-3	n/a	n/a
364.460630	2	cue_dict_pmod	n/a	15	-5	n/a	n/a
372.500460	2	cue_ug-prop_pmod	n/a	25	5	n/a	n/a
380.540250	2	cue_dict_pmod	n/a	25	5	n/a	n/a
10.532023	1.188381	dec_dg-prop_pmod_choice	1.188381	23	n/a	16	3.330283e-02
18.574190	1.269125	dec_ug-resp_pmod_accept	1.269125	25	n/a	14	2.281385e-01
18.574190	1.269125	dec_ug-resp_pmod_option_presented	1.269125	25	n/a	14	2.281385e-01
18.574190	1.269125	dec_ug-resp_pmod_choice	1.269125	25	n/a	14	2.281385e-01
