onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
4.990690	2	cue_ug-prop_pmod	n/a	19	-1	n/a	n/a
15.040700	2	cue_dict_pmod	n/a	19	-2	n/a	n/a
31.591000	2	cue_dict_pmod	n/a	21	0	n/a	n/a
43.640700	2	cue_ug-resp_pmod	n/a	25	5	n/a	n/a
51.690500	2	cue_ug-prop_pmod	n/a	25	5	n/a	n/a
63.240300	2	cue_ug-prop_pmod	n/a	17	-3	n/a	n/a
71.290500	2	cue_ug-resp_pmod	n/a	23	3	n/a	n/a
82.840400	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
93.890400	2	cue_ug-resp_pmod	n/a	17	-3	n/a	n/a
106.940000	2	cue_ug-prop_pmod	n/a	23	3	n/a	n/a
121.990000	2	cue_ug-prop_pmod	n/a	15	-5	n/a	n/a
135.040000	2	cue_dict_pmod	n/a	19	-2	n/a	n/a
143.090000	2	cue_ug-prop_pmod	n/a	19	-1	n/a	n/a
152.641000	2	cue_dict_pmod	n/a	23	2	n/a	n/a
165.690000	2	cue_dict_pmod	n/a	15	-6	n/a	n/a
175.240000	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
183.290000	2	cue_ug-prop_pmod	n/a	19	-1	n/a	n/a
192.840000	2	cue_dict_pmod	n/a	25	4	n/a	n/a
202.390000	2	cue_dict_pmod	n/a	21	0	n/a	n/a
213.940000	2	cue_ug-prop_pmod	n/a	25	5	n/a	n/a
226.990000	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
239.040000	2	cue_dict_pmod	n/a	25	4	n/a	n/a
247.090000	2	cue_dict_pmod	n/a	15	-6	n/a	n/a
262.140000	2	cue_ug-resp_pmod	n/a	23	3	n/a	n/a
270.190000	2	cue_ug-resp_pmod	n/a	19	-1	n/a	n/a
278.239000	2	cue_ug-resp_pmod	n/a	17	-3	n/a	n/a
286.289000	2	cue_ug-resp_pmod	n/a	19	-1	n/a	n/a
297.840000	2	cue_dict_pmod	n/a	21	0	n/a	n/a
309.390000	2	cue_dict_pmod	n/a	25	4	n/a	n/a
317.439000	2	cue_dict_pmod	n/a	19	-2	n/a	n/a
325.489000	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
340.539000	2	cue_ug-prop_pmod	n/a	23	3	n/a	n/a
352.589000	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
360.639000	2	cue_ug-prop_pmod	n/a	15	-5	n/a	n/a
368.689000	2	cue_ug-resp_pmod	n/a	17	-3	n/a	n/a
380.739000	2	cue_ug-prop_pmod	n/a	19	-1	n/a	n/a
7.523110	1.233750	dec_ug-resp_pmod_reject	1.233750	19	n/a	0	-1.287287e-01
7.523110	1.233750	dec_ug-resp_pmod_option_presented	1.233750	19	n/a	0	-1.287287e-01
7.523110	1.233750	dec_ug-resp_pmod_choice	1.233750	19	n/a	0	-1.813603e-01
19.073100	0.950146	dec_ug-prop_pmod_choice	0.950146	19	n/a	18	-1.108765e-01
34.122900	1.049980	dec_ug-prop_pmod_choice	1.049980	21	n/a	20	-1.158890e-01
