onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
5.004365	2	cue_dict_pmod	n/a	15	-4	n/a	n/a
13.044228	2	cue_dict_pmod	n/a	25	6	n/a	n/a
21.100712	2	cue_ug-resp_pmod	n/a	15	-4	n/a	n/a
29.141047	2	cue_ug-prop_pmod	n/a	21	0	n/a	n/a
39.182255	2	cue_ug-resp_pmod	n/a	19	0	n/a	n/a
52.726837	2	cue_dict_pmod	n/a	19	0	n/a	n/a
64.269714	2	cue_ug-prop_pmod	n/a	21	0	n/a	n/a
73.811110	2	cue_dict_pmod	n/a	21	2	n/a	n/a
81.850570	2	cue_ug-prop_pmod	n/a	23	2	n/a	n/a
91.408740	2	cue_ug-resp_pmod	n/a	19	0	n/a	n/a
103.435470	2	cue_ug-prop_pmod	n/a	15	-6	n/a	n/a
111.491900	2	cue_ug-prop_pmod	n/a	23	2	n/a	n/a
119.515430	2	cue_ug-resp_pmod	n/a	19	0	n/a	n/a
129.056440	2	cue_ug-prop_pmod	n/a	25	4	n/a	n/a
139.098360	2	cue_ug-resp_pmod	n/a	19	0	n/a	n/a
154.143900	2	cue_ug-prop_pmod	n/a	25	4	n/a	n/a
167.187770	2	cue_ug-prop_pmod	n/a	15	-6	n/a	n/a
179.230970	2	cue_dict_pmod	n/a	23	4	n/a	n/a
189.272520	2	cue_dict_pmod	n/a	15	-4	n/a	n/a
200.815490	2	cue_ug-prop_pmod	n/a	21	0	n/a	n/a
208.871830	2	cue_ug-resp_pmod	n/a	15	-4	n/a	n/a
216.911770	2	cue_ug-resp_pmod	n/a	21	2	n/a	n/a
226.953540	2	cue_dict_pmod	n/a	15	-4	n/a	n/a
234.993600	2	cue_ug-resp_pmod	n/a	23	4	n/a	n/a
246.035600	2	cue_ug-resp_pmod	n/a	23	4	n/a	n/a
262.583130	2	cue_ug-prop_pmod	n/a	23	2	n/a	n/a
273.625200	2	cue_dict_pmod	n/a	19	0	n/a	n/a
283.666930	2	cue_ug-prop_pmod	n/a	17	-4	n/a	n/a
295.209870	2	cue_dict_pmod	n/a	19	0	n/a	n/a
304.750900	2	cue_ug-prop_pmod	n/a	25	4	n/a	n/a
319.796600	2	cue_ug-resp_pmod	n/a	25	6	n/a	n/a
333.340940	2	cue_ug-resp_pmod	n/a	17	-2	n/a	n/a
341.381130	2	cue_dict_pmod	n/a	21	2	n/a	n/a
352.423430	2	cue_ug-resp_pmod	n/a	17	-2	n/a	n/a
360.480070	2	cue_dict_pmod	n/a	21	2	n/a	n/a
370.504730	2	cue_dict_pmod	n/a	15	-4	n/a	n/a
7.537925	0.885169	dec_ug-prop_pmod_choice	0.885169	15	n/a	10	1.554449e-01
15.577126	1.586752	dec_ug-prop_pmod_choice	1.586752	25	n/a	14	2.621116e-01
23.618116	1.001663	dec_dg-prop_pmod_choice	1.001663	15	n/a	12	-1.219378e-01
31.673996	1.869231	dec_ug-resp_pmod_reject	1.869231	21	n/a	0	1.974603e-01
31.673996	1.869231	dec_ug-resp_pmod_option_presented	1.869231	21	n/a	0	1.974603e-01
31.673996	1.869231	dec_ug-resp_pmod_choice	1.869231	21	n/a	0	-1.358730e-01
