onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
5.005874	2	cue_dict_pmod	n/a	17	-3	n/a	n/a
14.555913	2	cue_dict_pmod	n/a	25	5	n/a	n/a
24.605814	2	cue_dict_pmod	n/a	19	-1	n/a	n/a
38.155697	2	cue_ug-prop_pmod	n/a	25	5	n/a	n/a
48.222412	2	cue_ug-prop_pmod	n/a	15	-5	n/a	n/a
61.772408	2	cue_ug-prop_pmod	n/a	17	-3	n/a	n/a
69.822495	2	cue_dict_pmod	n/a	19	-1	n/a	n/a
82.872110	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
97.922165	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
105.972070	2	cue_ug-resp_pmod	n/a	23	3	n/a	n/a
114.022160	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
125.072020	2	cue_dict_pmod	n/a	21	1	n/a	n/a
141.622020	2	cue_ug-prop_pmod	n/a	15	-5	n/a	n/a
152.672040	2	cue_dict_pmod	n/a	19	-1	n/a	n/a
160.722000	2	cue_ug-resp_pmod	n/a	15	-5	n/a	n/a
170.271900	2	cue_dict_pmod	n/a	15	-5	n/a	n/a
180.321720	2	cue_ug-resp_pmod	n/a	25	5	n/a	n/a
188.371860	2	cue_ug-prop_pmod	n/a	23	3	n/a	n/a
199.921940	2	cue_dict_pmod	n/a	17	-3	n/a	n/a
210.971590	2	cue_ug-resp_pmod	n/a	15	-5	n/a	n/a
227.521850	2	cue_ug-resp_pmod	n/a	17	-3	n/a	n/a
235.571660	2	cue_ug-prop_pmod	n/a	25	5	n/a	n/a
243.621600	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
257.171570	2	cue_ug-resp_pmod	n/a	25	5	n/a	n/a
270.721500	2	cue_ug-resp_pmod	n/a	25	5	n/a	n/a
281.771600	2	cue_dict_pmod	n/a	25	5	n/a	n/a
293.821700	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
301.871430	2	cue_ug-resp_pmod	n/a	15	-5	n/a	n/a
311.921600	2	cue_ug-prop_pmod	n/a	15	-5	n/a	n/a
321.971440	2	cue_dict_pmod	n/a	23	3	n/a	n/a
335.021330	2	cue_dict_pmod	n/a	17	-3	n/a	n/a
343.071230	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
353.121150	2	cue_ug-resp_pmod	n/a	23	3	n/a	n/a
364.671020	2	cue_ug-prop_pmod	n/a	17	-3	n/a	n/a
372.721130	2	cue_dict_pmod	n/a	21	1	n/a	n/a
380.771060	2	cue_ug-resp_pmod	n/a	15	-5	n/a	n/a
9.038192	1.300139	dec_ug-prop_pmod_choice	1.300139	17	n/a	12	-4.955629e-02
