onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
4.992802	2	cue_dict_pmod	n/a	15	-7	n/a	n/a
16.535475	2	cue_ug-prop_pmod	n/a	19	2	n/a	n/a
28.579610	2	cue_ug-prop_pmod	n/a	15	-3	n/a	n/a
39.620758	2	cue_ug-prop_pmod	n/a	17	-1	n/a	n/a
54.666527	2	cue_ug-prop_pmod	n/a	19	2	n/a	n/a
66.209100	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
75.767204	2	cue_ug-resp_pmod	n/a	17	-4	n/a	n/a
87.810295	2	cue_dict_pmod	n/a	23	1	n/a	n/a
101.354660	2	cue_ug-resp_pmod	n/a	25	5	n/a	n/a
119.402740	2	cue_ug-resp_pmod	n/a	25	5	n/a	n/a
129.444610	2	cue_ug-resp_pmod	n/a	25	5	n/a	n/a
138.985500	2	cue_ug-resp_pmod	n/a	17	-4	n/a	n/a
150.028260	2	cue_ug-prop_pmod	n/a	17	-1	n/a	n/a
158.068400	2	cue_dict_pmod	n/a	21	-1	n/a	n/a
171.112150	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
179.151870	2	cue_ug-resp_pmod	n/a	17	-4	n/a	n/a
194.197710	2	cue_ug-prop_pmod	n/a	15	-3	n/a	n/a
203.739230	2	cue_dict_pmod	n/a	25	3	n/a	n/a
215.781900	2	cue_ug-prop_pmod	n/a	19	2	n/a	n/a
225.824130	2	cue_ug-resp_pmod	n/a	15	-6	n/a	n/a
235.865260	2	cue_ug-prop_pmod	n/a	15	-3	n/a	n/a
247.408260	2	cue_dict_pmod	n/a	25	3	n/a	n/a
257.449700	2	cue_dict_pmod	n/a	17	-5	n/a	n/a
265.506400	2	cue_ug-prop_pmod	n/a	21	4	n/a	n/a
273.546230	2	cue_dict_pmod	n/a	25	3	n/a	n/a
283.587460	2	cue_ug-prop_pmod	n/a	15	-3	n/a	n/a
298.633500	2	cue_dict_pmod	n/a	23	1	n/a	n/a
306.673430	2	cue_ug-prop_pmod	n/a	19	2	n/a	n/a
316.214450	2	cue_ug-prop_pmod	n/a	19	2	n/a	n/a
324.271000	2	cue_dict_pmod	n/a	23	1	n/a	n/a
333.795620	2	cue_dict_pmod	n/a	23	1	n/a	n/a
346.839570	2	cue_ug-resp_pmod	n/a	21	1	n/a	n/a
354.895870	2	cue_ug-resp_pmod	n/a	19	-2	n/a	n/a
364.437600	2	cue_dict_pmod	n/a	23	1	n/a	n/a
